id_pedido,fecha_pedido,producto,categoría,cantidad,total_venta,canal,estado,ciudad
1000,2025-07-21,Calcetines,Calzado,1,90,Web,Entregado,CDMX
1001,2025-01-30,Chamarra,Ropa,2,3000,App,Entregado,Guadalajara
1002,2025-03-09,Gorra,Accesorios,3,540,App,Entregado,Guadalajara
1003,2025-11-16,Pantalón,Ropa,2,1200,Marketplace,Entregado,Puebla
1004,2025-06-11,Tenis,Calzado,3,3600,Web,Entregado,Puebla
1005,2025-12-10,Camiseta,Ropa,4,1000,App,Entregado,Guadalajara
1006,2025-02-03,Camiseta,Ropa,2,500,Web,Enviado,CDMX
1007,2025-04-06,Camiseta,Ropa,4,1000,Web,Entregado,Puebla
1008,2025-07-19,Pantalón,Ropa,1,600,App,Enviado,Puebla
1009,2025-01-05,Calcetines,Calzado,2,180,Marketplace,Cancelado,Monterrey
1010,2025-05-23,Chamarra,Ropa,1,1500,Web,Entregado,Guadalajara
1011,2025-06-26,Mochila,Accesorios,2,1600,Web,Entregado,Guadalajara
1012,2025-03-28,Gorra,Accesorios,1,180,Marketplace,Entregado,Monterrey
1013,2025-03-08,Chamarra,Ropa,4,6000,Marketplace,Entregado,Monterrey
1014,2025-12-05,Mochila,Accesorios,4,3200,Web,Entregado,Puebla
1015,2025-12-21,Calcetines,Calzado,1,90,Marketplace,Enviado,Puebla
1016,2025-07-02,Chamarra,Ropa,4,6000,Web,Entregado,Monterrey
1017,2025-11-24,Gorra,Accesorios,3,540,Marketplace,Entregado,CDMX
1018,2025-06-27,Gorra,Accesorios,2,360,App,Entregado,Puebla
1019,2025-12-17,Mochila,Accesorios,4,3200,Web,Entregado,Guadalajara
1020,2025-01-16,Pantalón,Ropa,4,2400,Web,Entregado,Puebla
1021,2025-08-09,Calcetines,Calzado,4,360,App,Entregado,Guadalajara
1022,2025-01-16,Chamarra,Ropa,3,4500,Web,Entregado,Guadalajara
1023,2025-07-08,Camiseta,Ropa,2,500,App,Entregado,Guadalajara
1024,2025-11-19,Tenis,Calzado,3,3600,App,Entregado,Monterrey
1025,2025-10-31,Mochila,Accesorios,4,3200,Web,Entregado,Puebla
1026,2025-03-20,Gorra,Accesorios,3,540,App,Entregado,CDMX
1027,2025-08-27,Camiseta,Ropa,1,250,Web,Entregado,Monterrey
1028,2025-03-02,Calcetines,Calzado,2,180,Web,Entregado,CDMX
1029,2025-04-01,Calcetines,Calzado,2,180,Web,Entregado,Monterrey
1030,2025-06-05,Calcetines,Calzado,3,270,Web,Entregado,Monterrey
1031,2025-12-08,Pantalón,Ropa,2,1200,Web,Entregado,Puebla
1032,2025-09-02,Camiseta,Ropa,2,500,Marketplace,Entregado,Monterrey
