ticket;fecha;mesa;mesero;platillo;comensales;total
1;12/04/2025 22:15;16;Luis;Pozole;6;$456.14
2;16/04/2025 22:26;1;Luis;Chilaquiles;4;$493.32
3;07/05/2025 20:39;3;Luis;Mole;2;$693.73
4;25/05/2025 14:10;8;Ana;Pozole;2;$480.79
5;04/03/2025 20:00;12;Luis;Mole;4;$479.36
6;13/03/2025 14:02;9;Ana;Tacos;2;$443.02
7;14/05/2025 15:57;5;Luis;Tacos;6;$414.96
8;25/05/2025 19:46;16;Ana;Enchiladas;6;$378.44
9;23/03/2025 15:15;18;Jorge;Enchiladas;5;$668.28
10;29/03/2025 15:05;3;Luis;Pozole;1;$627.72
11;18/05/2025 22:33;19;Ana;Enchiladas;2;$368.91
12;08/04/2025 14:38;17;Jorge;Pozole;4;$470.76
13;25/03/2025 20:26;3;Ana;Chilaquiles;3;$310.30
14;14/05/2025 13:33;8;Luis;Chilaquiles;2;$564.52
15;24/03/2025 13:17;14;Carla;Chilaquiles;6;$534.08
16;06/04/2025 14:44;17;Ana;Mole;5;$465.19
17;27/04/2025 22:34;7;Ana;Enchiladas;2;$354.86
18;19/04/2025 20:56;3;Ana;Mole;4;$543.66
19;08/03/2025 21:00;14;Jorge;Enchiladas;5;$525.83
20;03/03/2025 13:14;1;Jorge;Tacos;4;$430.29
21;17/05/2025 20:02;4;Carla;Chilaquiles;6;$540.30
22;07/05/2025 15:28;9;Carla;Tacos;3;$290.54
23;15/05/2025 15:06;15;Carla;Mole;2;$379.97
24;18/04/2025 20:45;5;Luis;Enchiladas;3;$337.65
25;13/05/2025 15:10;15;Jorge;Enchiladas;1;$465.45
26;30/03/2025 19:12;10;Jorge;Pozole;6;$651.90
27;10/04/2025 14:45;13;Carla;Tacos;1;$457.55
28;10/05/2025 15:05;16;Jorge;Chilaquiles;3;$588.16
29;12/03/2025 19:34;11;Ana;Tacos;3;$447.90
30;28/03/2025 14:08;17;Carla;Tacos;4;$402.88
31;12/03/2025 14:59;10;Jorge;Mole;5;$573.15
32;10/04/2025 15:55;2;Luis;Mole;1;$516.64
33;27/05/2025 19:35;19;Ana;Mole;2;$621.75
34;13/03/2025 21:47;5;Luis;Mole;4;$568.31
35;04/04/2025 20:43;14;Luis;Enchiladas;5;$353.86
36;06/04/2025 20:12;6;Luis;Enchiladas;5;$145.59
37;21/05/2025 21:59;3;Luis;Pozole;3;$467.72
38;19/03/2025 14:00;4;Jorge;Chilaquiles;3;$310.01
39;15/04/2025 14:54;14;Luis;Enchiladas;1;$282.02
40;24/03/2025 15:38;9;Carla;Enchiladas;5;$273.39
41;02/03/2025 14:20;11;Luis;Pozole;1;$374.10
42;07/05/2025 20:19;2;Jorge;Chilaquiles;4;$427.01
43;06/03/2025 20:57;5;Ana;Tacos;2;$451.60
44;26/03/2025 14:13;4;Ana;Enchiladas;1;$696.28
45;14/04/2025 20:54;18;Luis;Enchiladas;6;$305.42
46;13/04/2025 20:11;2;Ana;Pozole;3;$449.60
47;11/03/2025 15:55;15;Luis;Mole;1;$301.54
48;28/05/2025 22:28;9;Carla;Mole;1;$331.37
49;07/05/2025 21:53;10;Carla;Tacos;4;$458.77
50;26/05/2025 14:20;18;Carla;Chilaquiles;1;$500.97
51;09/03/2025 14:47;7;Jorge;Enchiladas;5;$296.46
